from_totally_fake_account,total_transactions,average_transaction_amount
1000,181,15.604088397790056
1006,173,11.454682080924856
1087,179,7.330949720670391
1133,126,15.678809523809523
1174,123,13.188373983739838
1186,126,15.432222222222222
1189,128,12.45140625
1323,125,15.28256
1382,129,13.532635658914728
1433,134,14.519402985074626
1460,174,10.152988505747127
1490,169,14.031715976331363
1505,130,12.68876923076923
1507,204,13.442549019607844
1563,187,12.570427807486631
1569,171,11.155263157894737
1615,164,15.681097560975608
1631,190,8.495473684210527
1642,158,12.165316455696201
1644,170,12.243470588235294
1697,209,8.863588516746411
1703,211,10.212132701421803
1730,165,9.472666666666667
1793,139,15.011726618705037
1799,149,14.509932885906041
1808,161,16.511801242236025
1828,130,16.75976923076923
1835,128,12.491171875
1838,122,16.160819672131147
1910,165,8.894242424242425
1931,173,9.33364161849711
2076,200,16.270899999999997
2100,173,10.984566473988439
2108,166,12.6544578313253
2116,175,7.241999999999999
2126,125,15.02848
2137,190,12.508526315789473
2152,143,10.3
2213,124,14.296209677419355
2214,130,15.794846153846153
2236,167,14.73311377245509
2260,151,11.536092715231788
2274,192,9.368020833333334
2288,155,13.446451612903225
2315,180,13.660277777777777
2331,301,13.316179401993356
2390,191,11.378062827225131
2440,123,12.890569105691057
2518,222,11.10572072072072
2574,140,9.2915
2632,143,9.724405594405594
2641,188,11.723882978723404
2647,193,12.694300518134716
2663,180,11.205333333333334
2677,122,15.286229508196723
2711,160,12.067375
2760,167,14.038622754491017
2767,164,9.367560975609756
2771,223,13.83695067264574
2778,171,13.819883040935672
2779,164,12.856463414634147
2817,213,7.472018779342723
2862,214,15.011168224299064
2910,154,16.71155844155844
2987,142,12.156830985915493
3017,196,11.673673469387754
3143,228,9.261008771929825
3217,140,15.809071428571428
3226,176,16.695511363636367
3269,189,8.72968253968254
3296,191,13.151937172774868
3317,142,9.807253521126759
3395,148,13.952162162162162
3431,128,15.121796875
3498,155,15.915290322580644
3580,173,11.154913294797687
3615,134,15.74544776119403
3638,175,12.0644
3650,174,9.437183908045977
3868,175,15.001428571428571
3890,174,10.212528735632183
3896,151,16.63066225165563
3939,178,13.571460674157303
4009,153,11.490980392156862
4021,176,10.510852272727274
4044,148,12.714527027027026
4107,126,14.844126984126985
4206,197,15.944111675126903
4265,133,16.724962406015038
4279,222,11.591126126126126
4305,177,11.229604519774012
4313,162,16.215864197530863
4343,130,13.155307692307693
4403,124,11.590483870967741
4416,189,7.889365079365079
4463,171,11.934736842105265
4516,182,8.35032967032967
4526,198,15.483282828282828
4555,188,8.439202127659573
4572,128,11.782109375
