day,monopoly_money_amount
1,14452.16
2,15118.27
3,202392.6
4,197752.38
5,200915.96
6,14691.29
7,14578.24
8,15889.02
9,14414.16
10,200740.7
11,195159.27
12,201480.98
13,16080.14
14,16011.35
15,15115.37
16,15427.8
17,200429.83
18,196633.42
19,201736.57
20,15710.65
21,14170.78
22,15195.88
23,15731.91
24,197078.64
25,202879.38
26,198199.11
27,14557.14
28,15338.91
29,14624.29
30,14291.53
31,195863.22
32,198052.34
33,199177.55
34,15666.21
35,14962.77
36,15791.83
37,15529.67
38,201133.23
39,201033.21
40,197901.93
41,14792.68
42,16102.19
43,14233.86
44,14962.11
45,200145.86
46,194845.94
47,200686.35
48,14956.81
49,15453.29
50,15303.49
51,15474.34
52,198776.27
53,195117.1
54,195586.1
55,15479.07
56,14464.79
57,14091.41
58,14752.43
59,199455.09
60,197326.9
61,197281.97
62,15759.07
63,15719.35
64,14949.87
65,14556.82
66,199142.93
67,197298.51
68,199973.43
69,15012.77
70,15021.21
71,14849.04
72,13684.09
73,201332.52
74,198108.79
75,201876.98
76,13893.82
77,14920.7
78,14717.32
79,14853.62
80,202502.8
81,200589.87
82,196062.75
83,13601.78
84,14991.94
85,15145.54
86,14539.3
87,198826.11
88,197490.37
89,197240.01
90,14401.45
91,15191.07
92,15564.13
93,15817.61
94,200206.31
95,200643.86
96,200298.03
97,14775.59
98,14578.43
99,15408.64
100,15603.06
101,196103.38
102,200380.99
103,202750.29
104,15469.26
105,15315.289999999999
106,14659.28
107,14674.97
108,197868.62
109,200340.81
110,201268.1
111,14917.5
112,15319.99
113,14860.56
114,14774.68
115,198251.0
116,201836.29
117,199626.86
118,14327.68
119,14758.73
120,13323.76
121,14507.61
122,198458.62
123,200036.75
124,200987.98
125,14528.37
126,15057.75
127,14461.14
128,14496.21
129,200947.01
130,198550.36
131,199623.84
132,15105.49
133,14606.35
134,14843.38
135,13388.289999999999
136,199411.19
137,199941.85
138,203732.76
139,15295.68
140,15038.93
141,13872.72
142,15989.26
143,201361.73
144,197495.74
145,199040.77
146,14608.89
147,15209.9
148,15258.65
149,14522.52
150,200616.8
151,202701.48
152,200246.21
153,15478.01
154,15953.26
155,16221.07
156,15739.65
157,195950.07
158,202746.97
159,197466.9
160,13914.62
161,14625.06
162,15134.5
163,15603.82
164,195007.28
165,196437.98
166,200424.46
167,14658.95
168,15680.45
169,14571.92
170,14278.11
171,198706.9
172,200486.77
173,199904.64
174,14482.84
175,14642.79
176,14172.13
177,14219.83
178,202621.74
179,195823.25
180,196293.54
181,14735.73
182,16421.65
183,15147.96
184,15021.93
185,199711.23
186,203060.22
187,197878.09
188,15548.1
189,15036.81
190,14604.77
191,14124.71
192,204572.86
193,199931.65
194,195501.84
195,14207.2
196,15220.49
197,15136.45
198,15105.96
199,198717.75
200,202439.78
201,199592.64
202,15343.3
203,15905.76
204,14081.36
205,14875.46
206,197394.93
207,199247.05
208,196175.77
209,15849.16
210,14482.13
211,15306.86
212,14547.65
213,199647.5
214,201473.2
215,198473.1
216,15980.18
217,14014.86
218,14784.39
219,14208.3
220,194851.29
221,200792.87
222,198667.72
223,14690.12
224,14368.7
225,15283.77
226,14655.3
227,199693.59
228,199964.76
229,201894.78
230,15238.02
231,14045.53
232,14116.23
233,14871.24
235,197448.02
236,197563.37
237,15565.36
238,15193.25
239,14950.62
240,13502.93
241,200742.45
242,199624.21
243,199278.67
244,15344.22
245,15185.61
246,16443.5
247,15568.78
248,200495.51
249,197598.7
250,204645.83
251,15501.27
252,15510.53
253,15821.93
254,14689.24
255,198972.32
256,198114.28
257,193063.51
258,14705.54
259,15589.1
260,14854.81
261,15422.99
262,199568.62
263,197574.39
264,197624.71
265,14503.75
266,15326.16
267,14697.19
268,15969.56
269,202679.73
270,197880.03
271,198455.9
272,12875.52
273,15265.4
274,14384.09
275,14195.92
276,200499.28
277,203093.69
278,198876.61
279,14323.35
280,15097.35
281,13874.31
282,13599.73
283,202546.15
284,200308.32
285,198558.43
286,14209.16
287,14497.95
288,15456.0
289,15227.24
290,201586.45
291,200298.45
292,202032.2
293,14846.78
294,14777.95
295,15011.64
296,15230.22
297,197302.7
298,201934.76
299,200749.03
300,14328.61
301,15298.63
302,14351.33
303,14103.62
304,202205.03
305,199337.07
306,195535.92
307,16108.91
308,16081.89
309,13978.96
310,15174.35
311,202517.93
312,197968.84
313,202549.63
314,15366.22
315,15654.45
316,15085.17
317,15433.92
318,199315.65
319,198463.71
320,201330.15
321,14997.25
322,15119.4
323,14784.3
324,14680.34
325,197431.78
326,198491.35
327,192614.34
328,14693.26
329,15074.42
330,14670.49
331,14163.47
332,198704.48
333,197286.74
334,198591.46
335,14825.289999999999
336,16138.24
337,15414.43
338,14783.14
339,211021.19
340,214321.32
341,219353.02
342,27092.01
343,28332.77
344,27539.329999999998
345,27980.59
346,217025.73
347,210677.57
348,213788.68
349,28174.26
350,29466.85
351,29863.97
352,28537.54
353,212503.39
354,211817.54
355,216796.74
356,15166.99
357,15204.27
358,14908.9
359,15841.74
360,202670.54
361,194852.63
362,195481.06
363,14736.21
364,15585.2
365,14924.21
