day,monopoly_money_amount
1,6253.0
2,5728.0
3,6722.0
4,6390.0
5,7363.0
6,6405.0
7,5868.0
8,6196.0
9,6048.0
10,6715.0
11,5986.0
12,6344.0
13,6435.0
14,5578.0
15,6789.0
16,6393.0
17,6286.0
18,5549.0
19,6587.0
20,5957.0
21,6343.0
22,6676.0
23,6185.0
24,6439.0
25,6325.0
26,5629.0
27,6059.0
28,6172.0
29,6990.0
30,5126.0
31,5890.0
32,6207.0
33,6919.0
34,6699.0
35,5834.0
36,6298.0
37,6024.0
38,6618.0
39,5965.0
40,6724.0
41,6935.0
42,6207.0
43,6260.0
44,6296.0
45,6487.0
46,6282.0
47,6604.0
48,6750.0
49,5663.0
50,5774.0
51,5880.0
52,5637.0
53,5623.0
54,6511.0
55,5713.0
56,6045.0
57,6389.0
58,5878.0
59,5892.0
60,6353.0
61,7008.0
62,6402.0
63,6492.0
64,5935.0
65,6481.0
66,5522.0
67,7602.0
68,5721.0
69,5456.0
70,6403.0
71,7647.0
72,6305.0
73,6254.0
74,6397.0
75,7169.0
76,6367.0
77,6074.0
78,7000.0
79,6100.0
80,6135.0
81,6203.0
82,6672.0
83,6620.0
84,6249.0
85,6105.0
86,6183.0
87,5927.0
88,6177.0
89,5858.0
90,5990.0
91,6977.0
92,7214.0
93,7178.0
94,6740.0
95,5348.0
96,6430.0
97,5845.0
98,6118.0
99,6112.0
100,6190.0
101,5830.0
102,6063.0
103,5585.0
104,6040.0
105,6685.0
106,5961.0
107,6794.0
108,5401.0
109,6468.0
110,6465.0
111,7075.0
112,6777.0
113,6013.0
114,6181.0
115,6504.0
116,6827.0
117,5666.0
118,6090.0
119,6237.0
120,5805.0
121,6303.0
122,6411.0
123,6429.0
124,6946.0
125,6184.0
126,6846.0
127,6372.0
128,6357.0
129,6386.0
130,6558.0
131,6216.0
132,6104.0
133,6552.0
134,5830.0
135,5656.0
136,6268.0
137,6198.0
138,6743.0
139,6151.0
140,5730.0
141,6809.0
142,6431.0
143,5491.0
144,5162.0
145,5788.0
146,7009.0
147,6893.0
148,5787.0
149,6766.0
150,5871.0
151,5724.0
152,6854.0
153,7078.0
154,6804.0
155,6433.0
156,6447.0
157,5963.0
158,5959.0
159,5737.0
160,5862.0
161,6697.0
162,5662.0
163,6346.0
164,5599.0
165,6257.0
166,5984.0
167,6459.0
168,5983.0
169,5926.0
170,6988.0
171,7043.0
172,5972.0
173,6102.0
174,6576.0
175,6320.0
176,5487.0
177,6821.0
178,6572.0
179,6467.0
180,5602.0
181,5698.0
182,5734.0
183,7002.0
184,6393.0
185,6347.0
186,6235.0
187,5598.0
188,6787.0
189,6209.0
190,5768.0
191,6584.0
192,6282.0
193,6946.0
194,6193.0
195,6214.0
196,6026.0
197,6416.0
198,5992.0
199,6668.0
200,5889.0
201,6578.0
202,6539.0
203,6751.0
204,6360.0
205,6750.0
206,6770.0
207,6251.0
208,6464.0
209,6295.0
210,6365.0
211,6628.0
212,6091.0
213,5668.0
214,6626.0
215,6172.0
216,6128.0
217,6194.0
218,6653.0
219,6246.0
220,5842.0
221,6006.0
222,5059.0
223,6362.0
224,5667.0
225,6445.0
226,6555.0
227,6614.0
228,6237.0
229,6440.0
230,6493.0
231,5997.0
232,6096.0
233,6309.0
235,6704.0
236,5912.0
237,6700.0
238,6374.0
239,6135.0
240,6530.0
241,6050.0
242,6100.0
243,6647.0
244,6722.0
245,5881.0
246,5932.0
247,6124.0
248,7509.0
249,5968.0
250,6379.0
251,5711.0
252,6364.0
253,6782.0
254,6468.0
255,6160.0
256,6660.0
257,6038.0
258,6022.0
259,5450.0
260,6826.0
261,6200.0
262,6860.0
263,5415.0
264,6103.0
265,5592.0
266,6586.0
267,6970.0
268,5469.0
269,6472.0
270,6084.0
271,5941.0
272,6990.0
273,5879.0
274,6165.0
275,6659.0
276,5931.0
277,6682.0
278,6624.0
279,6037.0
280,6539.0
281,5939.0
282,5939.0
283,5574.0
284,5706.0
285,6509.0
286,6354.0
287,7112.0
288,6083.0
289,6051.0
290,5778.0
291,6503.0
292,6012.0
293,6450.0
294,6697.0
295,5601.0
296,5691.0
297,5847.0
298,6139.0
299,5826.0
300,6736.0
301,6229.0
302,6287.0
303,5632.0
304,5959.0
305,6408.0
306,7106.0
307,6335.0
308,5630.0
309,6148.0
310,5123.0
311,5978.0
312,6383.0
313,6717.0
314,6531.0
315,5906.0
316,6106.0
317,6219.0
318,5997.0
319,5883.0
320,5792.0
321,6096.0
322,6424.0
323,6499.0
324,5728.0
325,6954.0
326,6663.0
327,6649.0
328,5754.0
329,5855.0
330,6373.0
331,6309.0
332,6497.0
333,6490.0
334,5883.0
335,6125.0
336,6361.0
337,6792.0
338,6007.0
339,13759.0
340,13115.0
341,14175.0
342,15061.0
343,14524.0
344,12979.0
345,13595.0
346,14564.0
347,14035.0
348,14859.0
349,13789.0
350,14366.0
351,14735.0
352,14669.0
353,14743.0
354,13239.0
355,14025.0
356,6011.0
357,5920.0
358,6322.0
359,5681.0
360,5864.0
361,6490.0
362,6324.0
363,6368.0
364,6070.0
365,5825.0
