day,monopoly_money_amount
1,23676.0
2,23208.0
3,28893.0
4,25357.0
5,23452.0
6,23918.0
7,22547.0
8,27377.0
9,22512.0
10,26200.0
11,24292.0
12,20910.0
13,24046.0
14,24513.0
15,23239.0
16,24778.0
17,22198.0
18,26508.0
19,24171.0
20,25127.0
21,27151.0
22,24009.0
23,23437.0
24,27681.0
25,26364.0
26,26330.0
27,24652.0
28,21581.0
29,21982.0
30,21096.0
31,22169.0
32,25768.0
33,25508.0
34,29602.0
35,27972.0
36,25844.0
37,23275.0
38,21279.0
39,28563.0
40,22142.0
41,23382.0
42,26138.0
43,22256.0
44,23373.0
45,24360.0
46,23552.0
47,23884.0
48,25655.0
49,22620.0
50,25356.0
51,21524.0
52,23069.0
53,24504.0
54,22899.0
55,27555.0
56,23873.0
57,27996.0
58,24812.0
59,24164.0
60,23282.0
61,22032.0
62,23688.0
63,26605.0
64,26973.0
65,25776.0
66,25632.0
67,24757.0
68,22895.0
69,25075.0
70,23991.0
71,24198.0
72,26362.0
73,24778.0
74,24090.0
75,23596.0
76,23428.0
77,24603.0
78,23529.0
79,25612.0
80,23975.0
81,22152.0
82,22516.0
83,22914.0
84,21757.0
85,23858.0
86,23074.0
87,24662.0
88,23500.0
89,23652.0
90,26032.0
91,25166.0
92,24151.0
93,23465.0
94,26053.0
95,27364.0
96,22695.0
97,27845.0
98,22244.0
99,26530.0
100,25043.0
101,24506.0
102,24806.0
103,25729.0
104,25225.0
105,24051.0
106,24309.0
107,22194.0
108,20639.0
109,21868.0
110,25843.0
111,26158.0
112,25115.0
113,22120.0
114,23878.0
115,23969.0
116,25504.0
117,24880.0
118,25618.0
119,24928.0
120,21814.0
121,22522.0
122,26633.0
123,25264.0
124,28794.0
125,25584.0
126,22748.0
127,24275.0
128,28722.0
129,23061.0
130,22295.0
131,23682.0
132,23880.0
133,25664.0
134,23607.0
135,26256.0
136,25477.0
137,21482.0
138,23748.0
139,23628.0
140,23696.0
141,22388.0
142,24541.0
143,23961.0
144,25035.0
145,23616.0
146,23338.0
147,20873.0
148,24416.0
149,23688.0
150,21277.0
151,23477.0
152,25216.0
153,26040.0
154,25999.0
155,26178.0
156,22392.0
157,24091.0
158,21339.0
159,23934.0
160,23285.0
161,23496.0
162,24092.0
163,26946.0
164,23437.0
165,22929.0
166,21737.0
167,27675.0
168,23588.0
169,21543.0
170,22688.0
171,24561.0
172,21685.0
173,21329.0
174,24702.0
175,24760.0
176,24651.0
177,25591.0
178,23005.0
179,21503.0
180,24697.0
181,22189.0
182,21752.0
183,23093.0
184,25707.0
185,26926.0
186,24592.0
187,25025.0
188,28276.0
189,23741.0
190,23044.0
191,24701.0
192,23909.0
193,24741.0
194,26784.0
195,28421.0
196,23077.0
197,20370.0
198,23854.0
199,23283.0
200,24384.0
201,25133.0
202,29245.0
203,25218.0
204,23387.0
205,23908.0
206,25370.0
207,26215.0
208,25451.0
209,25608.0
210,24752.0
211,21869.0
212,19694.0
213,23303.0
214,25898.0
215,28668.0
216,21547.0
217,24857.0
218,21824.0
219,24797.0
220,22218.0
221,24345.0
222,25496.0
223,28124.0
224,21283.0
225,24584.0
226,26209.0
227,23224.0
228,25743.0
229,25467.0
230,26313.0
231,23202.0
232,26376.0
233,20005.0
235,24486.0
236,25476.0
237,25544.0
238,22670.0
239,22001.0
240,22066.0
241,24902.0
242,24444.0
243,21750.0
244,25582.0
245,24687.0
246,22629.0
247,26648.0
248,24988.0
249,24819.0
250,23639.0
251,23872.0
252,25554.0
253,26069.0
254,23279.0
255,23656.0
256,25717.0
257,23753.0
258,26640.0
259,26880.0
260,25174.0
261,23093.0
262,22412.0
263,25079.0
264,22404.0
265,22475.0
266,24890.0
267,24466.0
268,24027.0
269,24032.0
270,20612.0
271,22955.0
272,21700.0
273,26212.0
274,27453.0
275,23133.0
276,24966.0
277,25236.0
278,27577.0
279,23301.0
280,23355.0
281,24483.0
282,26987.0
283,23078.0
284,25792.0
285,23918.0
286,20167.0
287,25552.0
288,23097.0
289,24408.0
290,25678.0
291,25986.0
292,26803.0
293,27570.0
294,23985.0
295,24878.0
296,22550.0
297,24679.0
298,24712.0
299,23253.0
300,23553.0
301,24016.0
302,21487.0
303,23651.0
304,23247.0
305,27542.0
306,26424.0
307,25198.0
308,22902.0
309,24682.0
310,21099.0
311,22974.0
312,22394.0
313,24069.0
314,24428.0
315,22505.0
316,22960.0
317,24457.0
318,24886.0
319,24225.0
320,20735.0
321,21915.0
322,24416.0
323,20929.0
324,23933.0
325,25304.0
326,23894.0
327,23907.0
328,25160.0
329,23072.0
330,26197.0
331,20559.0
332,20799.0
333,22428.0
334,21580.0
335,23195.0
336,22639.0
337,24207.0
338,27793.0
339,71879.0
340,68337.0
341,64280.0
342,66213.0
343,60301.0
344,66284.0
345,61950.0
346,66691.0
347,66032.0
348,68031.0
349,67138.0
350,69122.0
351,67063.0
352,63023.0
353,65989.0
354,67193.0
355,64324.0
356,25280.0
357,24278.0
358,27709.0
359,24388.0
360,25577.0
361,22551.0
362,24268.0
363,23705.0
364,23523.0
365,23520.0
