day,monopoly_money_amount
1,23531.84
2,24069.82
3,24513.93
4,8371.83
5,8381.64
6,24224.4
7,23867.45
8,23826.07
9,23828.48
10,23861.65
11,7966.8
12,7750.73
13,23796.91
14,23737.48
15,24013.48
16,23334.329999999998
17,23576.88
18,7468.29
19,7868.0
20,23418.82
21,23513.43
22,23616.52
23,23907.82
24,23852.55
25,7830.53
26,8088.28
27,23748.79
28,23948.14
29,23625.59
30,23573.29
31,23088.5
32,7962.21
33,8308.81
34,24765.329999999998
35,24305.34
36,24268.82
37,23805.0
38,24131.91
39,7747.18
40,7657.53
41,23514.29
42,23778.67
43,23381.02
44,24011.59
45,23434.69
46,8173.08
47,7599.41
48,24293.14
49,24341.16
50,24349.88
51,23764.89
52,24445.579999999998
53,8381.76
54,8410.09
55,23643.89
56,23581.94
57,23588.31
58,23235.95
59,22815.15
60,7575.26
61,7807.91
62,23895.8
63,23864.85
64,24081.87
65,23800.54
66,23765.04
67,8029.12
68,7724.42
69,24000.26
70,23689.28
71,24023.12
72,23373.04
73,23672.11
74,7628.91
75,7857.47
76,23677.26
77,23743.2
78,23726.77
79,23813.47
80,23760.239999999998
81,7942.83
82,7737.66
83,23301.86
84,23528.05
85,23536.31
86,23639.71
87,23468.05
88,7496.32
89,7244.37
90,22884.5
91,23512.54
92,23951.27
93,24127.88
94,23928.75
95,8180.55
96,7955.19
97,23773.81
98,23773.46
99,23581.68
100,23796.65
101,23747.57
102,7979.47
103,8070.72
104,23726.89
105,23537.86
106,23694.03
107,23496.7
108,23796.62
109,7654.42
110,7759.7699999999995
111,23730.329999999998
112,23993.51
113,24439.23
114,23909.51
115,23806.9
116,7721.36
117,7770.2
118,23188.06
119,23573.89
120,23490.35
121,23187.21
122,24029.63
123,8436.55
124,8157.85
125,23716.93
126,23876.78
127,23857.54
128,23765.36
129,23845.57
130,7725.01
131,7719.14
132,23842.35
133,24036.079999999998
134,23190.35
135,23398.79
136,23525.22
137,7962.14
138,7841.47
139,24488.79
140,24079.0
141,23792.54
142,24039.239999999998
143,23707.8
144,8079.32
145,7729.83
146,23056.56
147,24200.26
148,23458.56
149,23400.75
150,23059.95
151,7502.05
152,8009.5
153,24083.1
154,25422.0
155,24026.66
156,23777.93
157,24090.28
158,7832.65
159,7758.6
160,23721.48
161,24151.15
162,23824.07
163,24195.87
164,23790.38
165,8274.95
166,7788.88
167,23995.239999999998
168,23756.97
169,23655.56
170,23977.59
171,23493.86
172,7628.98
173,7816.07
174,23649.46
175,23611.05
176,23870.54
177,23830.4
178,23662.02
179,7386.46
180,7499.89
181,23337.8
182,23164.23
183,24330.39
184,23812.73
185,23625.52
186,7298.79
187,7479.73
188,23554.44
189,23678.28
190,23563.07
191,23970.27
192,23684.27
193,7564.51
194,7753.5599999999995
195,23997.9
196,23966.57
197,23573.56
198,23883.93
199,23565.96
200,8036.71
201,7676.07
202,23981.82
203,24011.37
204,24020.93
205,23897.51
206,23762.8
207,8006.53
208,7889.29
209,23544.45
210,23320.06
211,23958.8
212,23073.7
213,23519.88
214,8077.39
215,8787.64
216,24404.25
217,23600.43
218,23486.61
219,23670.25
220,24144.0
221,7123.76
222,7612.37
223,23578.93
224,23851.3
225,24055.0
226,23314.36
227,23737.829999999998
228,7402.66
229,8035.96
230,23557.25
231,24010.19
232,23700.01
233,23953.92
235,7516.4
236,7503.37
237,23670.96
238,23779.64
239,23724.73
240,23631.48
241,23472.46
242,7541.76
243,7012.8
244,23444.239999999998
245,23696.03
246,24071.95
247,24492.2
248,24434.62
249,8332.55
250,7801.26
251,23431.63
252,23951.16
253,24049.17
254,23418.11
255,23634.77
256,7654.38
257,7889.27
258,23922.26
259,23752.1
260,23740.239999999998
261,23247.88
262,24065.6
263,8039.8
264,7873.54
265,23926.28
266,24076.21
267,23951.25
268,23232.27
269,23735.48
270,7988.17
271,7699.07
272,23692.29
273,22861.4
274,23620.29
275,23877.09
276,24888.98
277,8092.26
278,7849.1
279,23675.829999999998
280,23499.13
281,23999.5
282,23558.17
283,23988.75
284,7686.3
285,8001.18
286,23823.85
287,24016.98
288,24002.8
289,23299.5
290,23673.989999999998
291,7588.91
292,7778.29
293,23831.68
294,24058.85
295,23694.989999999998
296,23648.1
297,23775.05
298,7751.95
299,7755.6
300,23690.04
301,23719.9
302,23420.78
303,23552.57
304,23049.35
305,7869.23
306,7961.51
307,24866.28
308,24682.05
309,24417.81
310,23801.41
311,23798.35
312,7423.63
313,7270.28
314,23653.12
315,23780.18
316,23543.97
317,23552.14
318,23602.97
319,7748.12
320,7771.5
321,24070.13
322,24591.34
323,23913.34
324,23417.86
325,23143.85
326,7715.08
327,7916.28
328,23651.8
329,23303.44
330,24023.68
331,23683.66
332,23165.92
333,7262.15
334,6843.9
335,23496.329999999998
336,24523.2
337,24697.04
338,24159.22
339,37160.22
340,22400.88
341,22132.12
342,39447.87
343,37914.98
344,39058.48
345,37055.37
346,39047.6
347,21744.8
348,22377.4
349,38053.76
350,38465.23
351,37634.2
352,37966.659999999996
353,38339.64
354,21969.78
355,22820.79
356,23837.32
357,23903.19
358,23783.94
359,23948.98
360,23538.62
361,7920.59
362,8083.33
363,23524.78
364,23499.12
365,23054.6
