day,monopoly_money_amount
1,1078.0
2,1092.0
3,1181.0
4,1166.0
5,1083.0
6,1083.0
7,1069.0
8,1033.0
9,1084.0
10,1129.0
11,1147.0
12,1255.0
13,1211.0
14,1192.0
15,1027.0
16,1113.0
17,1147.0
18,1132.0
19,1183.0
20,1095.0
21,1068.0
22,1185.0
23,1004.0
24,1102.0
25,1187.0
26,1124.0
27,1055.0
28,1098.0
29,1174.0
30,1023.0
31,1069.0
32,830.0
33,1070.0
34,1247.0
35,1039.0
36,1136.0
37,1171.0
38,1041.0
39,1054.0
40,918.0
41,1225.0
42,1211.0
43,1204.0
44,1208.0
45,1197.0
46,956.0
47,1134.0
48,1029.0
49,1126.0
50,1398.0
51,1144.0
52,1081.0
53,994.0
54,1133.0
55,1163.0
56,1062.0
57,1066.0
58,1088.0
59,1071.0
60,1105.0
61,1096.0
62,1040.0
63,1176.0
64,1213.0
65,1081.0
66,1138.0
67,1023.0
68,1090.0
69,1171.0
70,1072.0
71,945.0
72,1085.0
73,1142.0
74,1010.0
75,1054.0
76,1205.0
77,971.0
78,1138.0
79,1188.0
80,926.0
81,1157.0
82,1293.0
83,1186.0
84,1132.0
85,1173.0
86,1105.0
87,1091.0
88,1198.0
89,1060.0
90,1141.0
91,1015.0
92,1154.0
93,1303.0
94,994.0
95,1276.0
96,1096.0
97,1077.0
98,1119.0
99,1159.0
100,1029.0
101,1175.0
102,1062.0
103,1043.0
104,1171.0
105,1139.0
106,1103.0
107,1231.0
108,1060.0
109,1046.0
110,1042.0
111,1241.0
112,1071.0
113,1049.0
114,1050.0
115,1320.0
116,1197.0
117,1268.0
118,1000.0
119,1104.0
120,1124.0
121,965.0
122,1110.0
123,1359.0
124,1035.0
125,1054.0
126,1252.0
127,1074.0
128,1101.0
129,919.0
130,923.0
131,1085.0
132,1215.0
133,1049.0
134,1224.0
135,1044.0
136,1091.0
137,1172.0
138,1002.0
139,1117.0
140,1043.0
141,1026.0
142,1372.0
143,1371.0
144,1011.0
145,1059.0
146,1179.0
147,1066.0
148,1266.0
149,1149.0
150,1161.0
151,1045.0
152,1041.0
153,1330.0
154,1264.0
155,1061.0
156,949.0
157,1149.0
158,1241.0
159,1095.0
160,1152.0
161,1241.0
162,1010.0
163,1234.0
164,1202.0
165,1110.0
166,1225.0
167,1085.0
168,1006.0
169,1171.0
170,1225.0
171,1073.0
172,1126.0
173,1137.0
174,1133.0
175,1224.0
176,1112.0
177,1172.0
178,1350.0
179,1162.0
180,1071.0
181,1145.0
182,977.0
183,1269.0
184,1107.0
185,1314.0
186,1122.0
187,1076.0
188,1189.0
189,1078.0
190,1168.0
191,1160.0
192,997.0
193,1030.0
194,1193.0
195,1155.0
196,1043.0
197,1050.0
198,1118.0
199,1156.0
200,1231.0
201,1134.0
202,1184.0
203,1052.0
204,1078.0
205,1134.0
206,1129.0
207,1161.0
208,1276.0
209,1265.0
210,1064.0
211,1184.0
212,1050.0
213,1062.0
214,1196.0
215,1106.0
216,1244.0
217,958.0
218,1148.0
219,1144.0
220,1334.0
221,1083.0
222,1166.0
223,1047.0
224,1022.0
225,1104.0
226,1152.0
227,1143.0
228,1139.0
229,1128.0
230,1079.0
231,1253.0
232,1196.0
233,1096.0
235,1122.0
236,1089.0
237,1249.0
238,1198.0
239,1107.0
240,1129.0
241,1281.0
242,1155.0
243,1149.0
244,1026.0
245,1094.0
246,1302.0
247,1037.0
248,1272.0
249,1174.0
250,1239.0
251,1098.0
252,1090.0
253,1142.0
254,1082.0
255,1198.0
256,1136.0
257,1321.0
258,872.0
259,1150.0
260,1349.0
261,1105.0
262,1065.0
263,996.0
264,1188.0
265,1113.0
266,1151.0
267,1209.0
268,1184.0
269,903.0
270,1329.0
271,964.0
272,1090.0
273,952.0
274,1078.0
275,1236.0
276,1187.0
277,1406.0
278,1042.0
279,1023.0
280,1227.0
281,1146.0
282,1059.0
283,1084.0
284,1007.0
285,1162.0
286,1038.0
287,1043.0
288,1021.0
289,1254.0
290,1007.0
291,1138.0
292,1210.0
293,1089.0
294,1053.0
295,1194.0
296,1128.0
297,904.0
298,1061.0
299,1222.0
300,1132.0
301,1176.0
302,1163.0
303,1088.0
304,1169.0
305,1012.0
306,1204.0
307,1186.0
308,966.0
309,1149.0
310,1059.0
311,1244.0
312,1059.0
313,1122.0
314,1239.0
315,974.0
316,1081.0
317,1185.0
318,1052.0
319,1175.0
320,1007.0
321,1079.0
322,1269.0
323,1051.0
324,1034.0
325,1066.0
326,1186.0
327,1190.0
328,1263.0
329,1263.0
330,1187.0
331,1097.0
332,987.0
333,1031.0
334,1020.0
335,1219.0
336,1212.0
337,1086.0
338,1030.0
339,2626.0
340,2635.0
341,2533.0
342,2691.0
343,2620.0
344,2536.0
345,2685.0
346,2467.0
347,2658.0
348,2432.0
349,2694.0
350,2225.0
351,2760.0
352,2595.0
353,2607.0
354,2692.0
355,2435.0
356,1067.0
357,1038.0
358,1050.0
359,1238.0
360,1109.0
361,1251.0
362,1045.0
363,944.0
364,1073.0
365,980.0
