day,monopoly_money_amount
1,10738.98
2,12030.44
3,38499.56
4,38686.05
5,39818.17
6,12098.67
7,11511.95
8,11111.0
9,11563.16
10,40836.25
11,37216.6
12,39457.76
13,12537.69
14,11097.0
15,11208.93
16,10280.93
17,38970.24
18,39329.11
19,38879.2
20,11655.41
21,11178.76
22,11268.06
23,10698.6
24,40469.659999999996
25,39319.6
26,38130.73
27,10472.72
28,11192.55
29,10750.28
30,11591.94
31,39757.86
32,38000.99
33,39752.59
34,11096.76
35,11405.7
36,11599.9
37,10342.7
38,39128.07
39,38027.51
40,36170.36
41,11010.36
42,10602.23
43,10640.15
44,10980.33
45,39907.35
46,39317.04
47,38118.04
48,10608.41
49,11054.92
50,11050.54
51,11086.27
52,40272.06
53,37890.03
54,39328.7
55,10268.11
56,10608.55
57,10690.94
58,11437.38
59,38333.67
60,37534.07
61,39201.88
62,11043.06
63,11103.76
64,10805.64
65,11403.13
66,40724.37
67,38476.07
68,39435.91
69,10392.48
70,11025.94
71,10999.05
72,11445.8
73,40418.67
74,38288.75
75,39565.659999999996
76,11775.1
77,10697.92
78,11826.28
79,11654.55
80,38884.53
81,39317.02
82,42436.86
83,10970.79
84,10663.18
85,10627.09
86,11081.66
87,39682.85
88,37508.63
89,39738.59
90,10503.0
91,12257.98
92,11489.97
93,11342.57
94,39685.43
95,38426.48
96,37999.06
97,11653.44
98,11205.32
99,11823.77
100,10797.07
101,38592.66
102,38099.9
103,37543.89
104,10947.07
105,10919.13
106,10828.59
107,11528.34
108,39306.8
109,37675.81
110,38172.27
111,11161.89
112,11695.55
113,10743.79
114,11389.87
115,40616.58
116,39134.21
117,39254.61
118,11242.87
119,11773.05
120,11413.34
121,10597.94
122,38343.36
123,40754.41
124,39095.6
125,11971.0
126,11589.24
127,11074.65
128,10439.69
129,38185.82
130,39225.159999999996
131,38506.41
132,11104.32
133,11593.42
134,10598.83
135,11114.0
136,38523.02
137,39431.78
138,39962.32
139,11123.54
140,11415.96
141,11344.01
142,11461.23
143,38928.77
144,37988.21
145,35998.2
146,11420.34
147,10994.03
148,11257.22
149,12273.26
150,38066.62
151,38320.81
152,37876.88
153,11382.6
154,10396.45
155,11394.35
156,11317.49
157,39742.62
158,39497.93
159,40730.02
160,11067.67
161,11697.64
162,11649.91
163,11068.7
164,39154.69
165,38768.3
166,40056.82
167,11501.64
168,11699.53
169,11083.06
170,11369.97
171,38025.6
172,39008.05
173,38805.47
174,11197.7
175,10973.61
176,10905.31
177,10838.72
178,38736.17
179,38923.35
180,36929.83
181,11201.81
182,12031.83
183,10935.63
184,10256.75
185,38957.37
186,39611.17
187,39777.0
188,10148.91
189,11112.05
190,10686.03
191,11323.09
192,41294.0
193,39123.14
194,37014.82
195,11439.75
196,11073.3
197,11842.67
198,10000.85
199,39613.69
200,38667.57
201,36138.03
202,10502.74
203,10987.3
204,11021.02
205,11008.86
206,39199.07
207,40150.84
208,38945.84
209,10349.09
210,11576.89
211,10887.46
212,12186.13
213,38261.03
214,37111.51
215,38986.16
216,12227.81
217,11731.01
218,11068.3
219,11406.42
220,39686.23
221,41207.36
222,38121.46
223,11169.99
224,10475.66
225,12076.18
226,10398.26
227,39924.23
228,41184.47
229,37579.56
230,11395.37
231,11180.01
232,10893.87
233,11861.34
235,39185.81
236,39045.98
237,10921.48
238,11650.41
239,10857.5
240,11623.4
241,40859.6
242,37281.17
243,37972.7
244,11313.94
245,11045.68
246,10562.09
247,10988.65
248,41759.88
249,40311.6
250,40610.34
251,11078.41
252,11483.19
253,10640.72
254,10714.57
255,40063.24
256,38778.21
257,40323.69
258,12358.18
259,10501.92
260,11088.72
261,10265.07
262,37948.74
263,36521.74
264,39828.9
265,11523.81
266,11497.38
267,11237.94
268,10750.14
269,39588.48
270,38306.27
271,36880.04
272,11092.56
273,11099.68
274,11974.8
275,11179.51
276,39267.22
277,40945.28
278,37986.09
279,11725.83
280,11351.74
281,11475.14
282,10814.54
283,39181.6
284,38482.26
285,39223.96
286,11079.02
287,10524.98
288,11945.36
289,11403.87
290,39909.91
291,38191.99
292,38963.98
293,10625.33
294,10824.93
295,11219.05
296,10418.11
297,38654.41
298,38156.75
299,36723.08
300,10345.81
301,10692.06
302,11099.56
303,10993.45
304,40072.7
305,36639.76
306,38322.17
307,12017.0
308,11235.09
309,10608.36
310,11101.29
311,37757.93
312,38707.75
313,39192.39
314,11230.36
315,11066.96
316,10958.46
317,11761.93
318,40003.58
319,41527.16
320,39827.52
321,10828.52
322,10693.03
323,10328.02
324,10717.87
325,39149.3
326,38871.93
327,39184.29
328,11409.05
329,11447.67
330,10849.09
331,11182.42
332,38789.71
333,39601.92
334,40838.25
335,11254.97
336,12236.12
337,10414.63
338,10893.84
339,38140.39
340,38468.84
341,38286.01
342,10893.84
343,10801.82
344,11606.42
345,10763.32
346,38783.78
347,41178.5
348,40297.66
349,11500.36
350,10777.03
351,11229.37
352,11879.93
353,40919.34
354,40714.08
355,37231.2
356,11328.41
357,12823.74
358,10488.8
359,11266.3
360,38049.75
361,39538.44
362,38547.08
363,11485.56
364,11143.29
365,11288.66
