day,monopoly_money_amount
1,4761.8
2,5005.97
3,4377.81
4,5612.41
5,6401.44
6,6015.14
7,7888.3
8,8360.27
9,8727.98
10,8389.39
11,7318.0
12,7190.33
13,7715.86
14,7957.98
15,8676.42
16,8014.7
17,8513.21
18,6552.49
19,7108.22
20,8255.17
21,7905.42
22,8966.52
23,8058.46
24,8606.54
25,7788.48
26,8855.49
27,8382.47
28,8126.79
29,8804.83
30,7136.72
31,7634.46
32,7567.04
33,8047.85
34,8100.17
35,8453.08
36,7809.96
37,7639.81
38,7857.81
39,8254.32
40,9037.76
41,8215.31
42,7942.23
43,8159.92
44,8360.77
45,7965.54
46,7909.84
47,8545.36
48,6464.93
49,8589.91
50,9018.45
51,7506.55
52,8811.17
53,8701.64
54,8813.6
55,7285.65
56,7386.42
57,8427.14
58,7912.5199999999995
59,6898.4
60,7593.35
61,9015.89
62,8833.96
63,8128.39
64,7679.65
65,7659.01
66,8032.14
67,8779.48
68,7817.19
69,8544.83
70,7005.05
71,7660.81
72,8231.56
73,9068.74
74,7534.51
75,8638.05
76,7132.52
77,9093.27
78,7718.73
79,8308.14
80,7647.05
81,8206.94
82,8411.27
83,7103.49
84,8552.83
85,7313.28
86,8273.74
87,8398.98
88,7456.81
89,7262.39
90,8949.8
91,6960.77
92,7930.27
93,8043.33
94,7375.9
95,8219.69
96,9241.75
97,9052.32
98,8745.73
99,7331.94
100,8752.09
101,8935.89
102,6869.11
103,7877.52
104,8761.5
105,7427.75
106,9200.84
107,7718.21
108,9093.88
109,8349.19
110,8530.27
111,8671.77
112,6843.56
113,8121.02
114,8296.1
115,7265.78
116,9333.07
117,7486.65
118,8760.44
119,7305.11
120,7749.07
121,6994.13
122,8480.35
123,7623.75
124,8246.02
125,8327.48
126,8382.43
127,7926.41
128,7861.47
129,8541.67
130,10098.53
131,7362.49
132,8729.9
133,8071.42
134,9255.27
135,8414.19
136,7446.37
137,8999.4
138,8222.3
139,8587.61
140,9253.07
141,7851.26
142,8576.85
143,8604.210000000001
144,8551.3
145,7719.43
146,9332.34
147,7774.9
148,8532.08
149,7851.46
150,7807.21
151,8653.09
152,8457.87
153,8278.42
154,7818.72
155,7749.23
156,8779.78
157,7517.51
158,7930.09
159,8468.46
160,9106.85
161,7386.58
162,8573.48
163,7656.26
164,9242.34
165,7865.57
166,7122.85
167,8503.48
168,7929.17
169,8624.12
170,7345.8
171,7509.26
172,8554.89
173,8830.0
174,8684.05
175,7484.1
176,8036.53
177,7352.01
178,7560.62
179,8258.76
180,7123.32
181,7628.27
182,8134.1
183,9217.36
184,8244.92
185,8418.36
186,8038.93
187,8973.32
188,8152.08
189,7277.12
190,7195.99
191,7771.29
192,7755.12
193,8605.06
194,7254.18
195,7482.22
196,8386.88
197,7004.04
198,9624.18
199,8059.7
200,8654.02
201,7518.26
202,8697.16
203,8340.57
204,9135.57
205,7414.58
206,8154.08
207,8170.0
208,8096.48
209,8621.92
210,8145.14
211,8635.95
212,7038.62
213,7884.65
214,9049.97
215,9599.03
216,8270.94
217,7550.74
218,9055.95
219,7800.06
220,8426.37
221,7772.46
222,8381.15
223,7271.29
224,9083.23
225,8115.18
226,8588.06
227,8169.58
228,7878.72
229,8882.55
230,9832.85
231,7400.62
232,6836.66
233,8611.54
235,8507.24
236,6981.42
237,9336.69
238,8856.13
239,9056.1
240,8884.01
241,7749.66
242,7348.41
243,8148.2
244,8584.25
245,7678.43
246,7509.36
247,8526.19
248,8435.81
249,9216.72
250,7660.18
251,7728.63
252,7296.14
253,9259.98
254,8539.27
255,7484.94
256,8739.74
257,7661.89
258,8242.97
259,7740.77
260,8078.39
261,8594.39
262,8477.35
263,7126.49
264,8911.93
265,8902.76
266,7314.54
267,7985.62
268,7860.51
269,7560.66
270,7917.85
271,8502.65
272,7709.86
273,7462.39
274,8289.58
275,7422.34
276,8397.91
277,7414.5
278,8558.21
279,7614.38
280,8490.97
281,7482.12
282,7533.26
283,7946.16
284,7670.92
285,7796.66
286,8390.63
287,7787.51
288,9225.9
289,7196.87
290,9091.8
291,7617.67
292,7960.26
293,8038.7
294,7789.26
295,9001.7
296,8515.64
297,7804.09
298,7514.89
299,8333.38
300,8399.64
301,6940.72
302,8927.94
303,7477.45
304,9133.12
305,9168.83
306,6813.48
307,8981.08
308,7738.46
309,8811.28
310,7831.23
311,8735.46
312,8318.88
313,8058.49
314,9147.2
315,7678.82
316,7773.98
317,8234.8
318,7883.86
319,8857.43
320,7774.04
321,8150.25
322,7807.99
323,8618.67
324,8694.44
325,8834.86
326,7476.12
327,7913.8
328,8965.98
329,8861.57
330,8804.56
331,7733.95
332,8650.24
333,7885.44
334,8635.68
335,9608.88
336,8427.21
337,9556.25
338,7726.93
339,11710.84
340,11859.28
341,11663.35
342,13049.69
343,10861.41
344,13390.27
345,12018.51
346,11280.63
347,11139.69
348,11764.47
349,12356.58
350,10250.27
351,12337.27
352,12271.94
353,11307.98
354,11871.86
355,11470.69
356,8838.74
357,7972.85
358,8340.99
359,7285.14
360,7498.27
361,7692.79
362,7541.32
363,8381.92
364,8120.54
365,7973.2
