day,monopoly_money_amount
1,707.0
2,966.0
3,973.0
4,765.0
5,1159.0
6,908.0
7,1052.0
8,985.0
9,863.0
10,1107.0
11,777.0
12,587.0
13,1036.0
14,949.0
15,796.0
16,942.0
17,739.0
18,722.0
19,937.0
20,622.0
21,851.0
22,1087.0
23,893.0
24,831.0
25,1180.0
26,1036.0
27,1029.0
28,917.0
29,1002.0
30,1045.0
31,611.0
32,1193.0
33,904.0
34,939.0
35,905.0
36,991.0
37,862.0
38,816.0
39,883.0
40,1108.0
41,1087.0
42,947.0
43,1140.0
44,603.0
45,636.0
46,725.0
47,1155.0
48,813.0
49,961.0
50,959.0
51,990.0
52,830.0
53,1042.0
54,1015.0
55,1171.0
56,1038.0
57,1357.0
58,673.0
59,921.0
60,1007.0
61,1109.0
62,1054.0
63,959.0
64,1205.0
65,761.0
66,852.0
67,1050.0
68,757.0
69,1101.0
70,792.0
71,719.0
72,940.0
73,1122.0
74,927.0
75,1056.0
76,986.0
77,713.0
78,801.0
79,1175.0
80,748.0
81,892.0
82,946.0
83,1115.0
84,999.0
85,939.0
86,1004.0
87,945.0
88,1048.0
89,821.0
90,796.0
91,1068.0
92,752.0
93,1151.0
94,1005.0
95,943.0
96,642.0
97,1100.0
98,753.0
99,770.0
100,674.0
101,721.0
102,791.0
103,841.0
104,785.0
105,1052.0
106,909.0
107,695.0
108,1055.0
109,1048.0
110,1263.0
111,902.0
112,1075.0
113,984.0
114,954.0
115,921.0
116,697.0
117,735.0
118,1075.0
119,1221.0
120,914.0
121,941.0
122,984.0
123,1149.0
124,896.0
125,979.0
126,1139.0
127,822.0
128,992.0
129,1070.0
130,860.0
131,756.0
132,603.0
133,1170.0
134,1019.0
135,1148.0
136,658.0
137,695.0
138,874.0
139,637.0
140,833.0
141,583.0
142,846.0
143,694.0
144,782.0
145,872.0
146,1012.0
147,1047.0
148,971.0
149,900.0
150,788.0
151,609.0
152,1039.0
153,840.0
154,946.0
155,1013.0
156,723.0
157,1047.0
158,1077.0
159,713.0
160,955.0
161,939.0
162,806.0
163,747.0
164,691.0
165,1024.0
166,892.0
167,679.0
168,680.0
169,1135.0
170,740.0
171,878.0
172,723.0
173,973.0
174,864.0
175,574.0
176,707.0
177,988.0
178,1176.0
179,835.0
180,894.0
181,794.0
182,1317.0
183,946.0
184,1094.0
185,598.0
186,1410.0
187,1137.0
188,1088.0
189,1001.0
190,549.0
191,703.0
192,997.0
193,1091.0
194,1062.0
195,999.0
196,1048.0
197,950.0
198,915.0
199,813.0
200,586.0
201,1123.0
202,674.0
203,1097.0
204,979.0
205,969.0
206,759.0
207,773.0
208,958.0
209,914.0
210,526.0
211,793.0
212,848.0
213,717.0
214,1130.0
215,991.0
216,1031.0
217,1017.0
218,920.0
219,1055.0
220,808.0
221,807.0
222,548.0
223,1035.0
224,931.0
225,983.0
226,987.0
227,718.0
228,921.0
229,1296.0
230,664.0
231,868.0
232,773.0
233,986.0
235,708.0
236,785.0
237,867.0
238,896.0
239,924.0
240,745.0
241,1269.0
242,750.0
243,644.0
244,939.0
245,1187.0
246,1238.0
247,833.0
248,1311.0
249,1019.0
250,883.0
251,950.0
252,969.0
253,1090.0
254,939.0
255,1087.0
256,642.0
257,930.0
258,834.0
259,575.0
260,767.0
261,745.0
262,913.0
263,833.0
264,833.0
265,961.0
266,1161.0
267,999.0
268,1036.0
269,1125.0
270,1092.0
271,1160.0
272,820.0
273,759.0
274,1087.0
275,879.0
276,774.0
277,735.0
278,613.0
279,869.0
280,906.0
281,744.0
282,970.0
283,725.0
284,923.0
285,783.0
286,802.0
287,823.0
288,850.0
289,1231.0
290,970.0
291,930.0
292,1185.0
293,965.0
294,869.0
295,1089.0
296,987.0
297,679.0
298,990.0
299,1011.0
300,1052.0
301,791.0
302,993.0
303,632.0
304,1070.0
305,900.0
306,771.0
307,1093.0
308,1427.0
309,1099.0
310,877.0
311,828.0
312,731.0
313,1111.0
314,938.0
315,1066.0
316,861.0
317,510.0
318,1025.0
319,648.0
320,901.0
321,895.0
322,620.0
323,708.0
324,924.0
325,815.0
326,1121.0
327,1009.0
328,885.0
329,994.0
330,1074.0
331,903.0
332,775.0
333,673.0
334,740.0
335,905.0
336,916.0
337,976.0
338,1019.0
339,3305.0
340,3679.0
341,2427.0
342,3255.0
343,2785.0
344,2914.0
345,3069.0
346,3893.0
347,3244.0
348,2876.0
349,2560.0
350,2761.0
351,3674.0
352,3665.0
353,3185.0
354,3148.0
355,2633.0
356,793.0
357,922.0
358,1313.0
359,881.0
360,1170.0
361,1245.0
362,1022.0
363,724.0
364,871.0
365,943.0
