day,monopoly_money_amount
1,6420.68
2,6282.97
3,28025.04
4,31621.27
5,32421.11
6,7067.47
7,6533.66
8,7190.4
9,7104.08
10,29070.46
11,30876.66
12,32494.66
13,6492.82
14,6135.54
15,7466.85
16,7114.71
17,32235.85
18,31455.12
19,29815.31
20,7787.52
21,7076.35
22,6385.41
23,6597.89
24,30519.04
25,32155.38
26,31284.34
27,5763.58
28,7134.76
29,6757.36
30,7036.82
31,30757.97
32,30403.27
33,30713.579999999998
34,8494.78
35,7288.52
36,7263.63
37,6473.97
38,29862.2
39,31158.07
40,30068.57
41,6624.79
42,6515.75
43,6338.99
44,6578.02
45,63283.32
46,30655.88
47,32611.13
48,8109.88
49,6734.2
50,7052.65
51,7130.34
52,31881.75
53,31700.29
54,30218.61
55,6797.98
56,6793.29
57,7627.21
58,6893.36
59,30098.46
60,29307.44
61,29112.45
62,6798.33
63,7246.69
64,7228.46
65,6428.66
66,30459.7
67,31687.29
68,30726.35
69,7781.39
70,6691.81
71,7348.69
72,7060.45
73,29971.44
74,30288.16
75,30390.25
76,6697.46
77,6941.75
78,6681.22
79,6805.14
80,30449.97
81,28638.34
82,31636.68
83,6343.2
84,6575.7699999999995
85,6446.01
86,6793.72
87,30181.75
88,30300.9
89,32183.35
90,5927.41
91,6323.98
92,6795.82
93,7409.28
94,31007.84
95,32153.77
96,31096.2
97,6144.96
98,7567.75
99,6618.15
100,7282.15
101,31942.93
102,32389.09
103,30616.29
104,6769.28
105,6692.94
106,6390.87
107,7151.84
108,30922.56
109,31303.49
110,30184.5
111,7188.88
112,6841.95
113,6889.56
114,6197.33
115,29769.52
116,32056.8
117,32375.99
118,6685.65
119,6896.86
120,5536.14
121,6986.61
122,32919.7
123,33597.21
124,32444.42
125,6961.7
126,5684.38
127,7687.13
128,6315.71
129,29100.01
130,31141.08
131,30632.74
132,6983.53
133,6341.33
134,5410.18
135,6917.22
136,28398.87
137,30567.74
138,31075.4
139,6768.7699999999995
140,7272.71
141,7171.24
142,7750.26
143,30898.76
144,31161.43
145,30775.31
146,6772.02
147,5968.32
148,6929.86
149,6526.54
150,32313.43
151,29665.54
152,31605.61
153,7734.28
154,7527.19
155,7497.65
156,5981.07
157,31578.89
158,31308.61
159,30637.81
160,6490.91
161,6381.67
162,6998.45
163,6293.92
164,33320.23
165,31073.78
166,30252.95
167,7308.15
168,6627.38
169,6037.32
170,7626.43
171,31413.6
172,31718.33
173,28968.62
174,6711.7
175,6488.73
176,6652.16
177,7407.89
178,30943.29
179,30764.64
180,29992.21
181,6184.42
182,6162.82
183,6469.34
184,7784.18
185,32290.47
186,31084.55
187,30653.43
188,6679.45
189,7224.53
190,6324.1
191,6393.11
192,30422.89
193,34127.94
194,31395.05
195,7115.83
196,6346.34
197,6216.82
198,6507.38
199,30660.25
200,29580.18
201,34383.28
202,6272.66
203,7660.41
204,7074.43
205,7120.2
206,30411.0
207,31770.72
208,29682.49
209,7524.25
210,7465.14
211,5739.43
212,5509.31
213,29454.33
214,29736.99
215,30168.3
216,7589.2
217,6902.77
218,5883.46
219,7543.61
220,30509.55
221,31071.6
222,30285.12
223,6258.18
224,6498.91
225,6811.53
226,7089.82
227,30104.94
228,31410.28
229,30889.89
230,6885.96
231,6753.02
232,6434.98
233,6058.96
235,30153.82
236,32195.02
237,6257.17
238,7372.01
239,6703.2
240,6852.12
241,30918.54
242,29598.9
243,29286.66
244,5661.89
245,6540.3
246,8286.06
247,7569.33
248,31657.82
249,30805.71
250,30401.4
251,6739.0599999999995
252,7034.0199999999995
253,7420.22
254,7257.48
255,30978.44
256,30881.52
257,31622.38
258,7832.89
259,6180.45
260,6651.18
261,6880.49
262,31294.52
263,30811.03
264,30184.53
265,7006.07
266,6625.16
267,6279.6
268,6472.39
269,31967.7
270,30945.23
271,32981.23
272,6559.17
273,6377.22
274,7208.27
275,6582.7
276,31214.11
277,32310.28
278,30074.0
279,7372.26
280,6689.61
281,6887.98
282,7983.17
283,30630.32
284,31825.98
285,29744.24
286,6563.53
287,7011.11
288,6177.46
289,6684.04
290,30305.65
291,33246.9
292,30817.96
293,6464.34
294,6836.5199999999995
295,6588.97
296,6190.08
297,30309.29
298,30011.34
299,29963.22
300,7056.06
301,6909.22
302,7215.22
303,6857.8
304,30093.49
305,32604.69
306,31684.12
307,7362.82
308,7003.47
309,6932.85
310,6578.19
311,31711.56
312,31819.98
313,30054.79
314,7473.6
315,6722.7300000000005
316,7468.67
317,6334.65
318,30948.36
319,30451.73
320,32091.38
321,6918.09
322,6405.81
323,6861.26
324,6655.54
325,30697.9
326,33393.11
327,31945.57
328,6645.95
329,6760.8
330,7009.96
331,6737.43
332,29533.98
333,31447.85
334,30602.44
335,6039.13
336,7707.17
337,7910.78
338,7003.4
339,41466.38
340,41464.37
341,41907.43
342,19419.64
343,17468.53
344,17448.61
345,18897.81
346,44538.59
347,44385.95
348,42494.26
349,18355.82
350,18160.25
351,18670.54
352,18650.82
353,41464.78
354,43770.94
355,41579.79
356,6559.88
357,7375.23
358,6144.69
359,6395.55
360,30054.16
361,30214.95
362,30101.33
363,6928.91
364,6752.33
365,6528.22
