day,monopoly_money_amount
1,5566.54
2,5491.16
3,6179.43
4,6093.8
5,7679.05
6,7784.99
7,8172.47
8,8272.23
9,8987.71
10,9125.34
11,8303.07
12,8822.72
13,9349.28
14,8845.53
15,8836.26
16,9227.69
17,9687.89
18,7736.19
19,9182.76
20,9092.36
21,8284.97
22,9803.57
23,9613.23
24,9763.58
25,9815.91
26,9974.11
27,8635.91
28,8863.53
29,9607.42
30,8255.1
31,8017.74
32,8231.46
33,8642.51
34,9437.34
35,8788.57
36,8702.27
37,9380.34
38,9323.78
39,8380.42
40,9496.01
41,10493.85
42,8876.92
43,9118.93
44,9016.0
45,9546.39
46,8994.67
47,9034.08
48,8763.289999999999
49,9983.09
50,9021.33
51,9129.24
52,9291.17
53,8256.68
54,9165.71
55,8500.61
56,9611.91
57,9574.95
58,8700.37
59,7662.8
60,8526.09
61,9679.71
62,9821.14
63,9797.81
64,8918.54
65,9291.04
66,9279.02
67,9652.4
68,9145.72
69,9484.77
70,8786.77
71,8994.52
72,9098.86
73,9059.18
74,9723.25
75,9121.32
76,9279.3
77,9293.15
78,9177.95
79,10443.86
80,8701.34
81,8930.51
82,9758.77
83,8794.19
84,9712.89
85,8131.35
86,8381.5
87,9001.13
88,8545.66
89,9010.0
90,9345.78
91,8159.69
92,8771.54
93,9667.16
94,8504.47
95,8396.77
96,8824.04
97,9007.99
98,8637.84
99,8223.79
100,8684.18
101,9487.02
102,8938.44
103,8911.45
104,8730.89
105,9103.93
106,9837.13
107,8188.44
108,9524.79
109,8264.01
110,8732.83
111,9216.69
112,8220.47
113,9346.37
114,8491.22
115,8625.44
116,10987.72
117,8813.57
118,9083.31
119,8395.35
120,9127.31
121,8237.69
122,9904.72
123,9945.45
124,9875.67
125,9273.25
126,8841.59
127,9778.42
128,8596.52
129,9063.51
130,9904.8
131,8343.08
132,10048.83
133,8758.78
134,9229.77
135,10130.5
136,8551.25
137,9579.95
138,9464.93
139,8541.01
140,9731.15
141,8149.2
142,9590.05
143,9263.73
144,9026.68
145,8840.62
146,9157.01
147,8927.83
148,9423.9
149,8970.73
150,8831.32
151,9378.18
152,8939.35
153,9435.25
154,9055.08
155,9925.7
156,10208.01
157,8432.26
158,9041.45
159,8853.79
160,10329.21
161,8665.18
162,9269.0
163,8914.82
164,9394.53
165,9287.16
166,8949.13
167,10195.27
168,8741.19
169,9967.55
170,8269.24
171,9472.4
172,9329.06
173,9444.54
174,9498.07
175,10171.31
176,9818.86
177,9424.3
178,9260.83
179,9284.81
180,8328.72
181,8837.25
182,9034.66
183,10636.82
184,9424.82
185,9457.41
186,9495.31
187,10072.12
188,9214.11
189,8700.09
190,9299.51
191,9489.59
192,9125.79
193,9182.46
194,7955.75
195,8334.52
196,9734.97
197,7964.8
198,9550.63
199,8860.2
200,9581.75
201,9229.88
202,9468.81
203,9545.09
204,10132.02
205,8224.1
206,8521.88
207,10079.56
208,9204.36
209,9239.84
210,9012.24
211,8765.63
212,7761.72
213,8254.54
214,10374.28
215,10158.95
216,9560.35
217,8683.68
218,10302.13
219,8318.93
220,8905.04
221,9037.42
222,9453.59
223,8739.39
224,9888.64
225,8636.48
226,8721.85
227,8245.38
228,8487.05
229,9093.01
230,10450.79
231,8298.94
232,8296.9
233,9484.65
235,9721.8
236,8839.01
237,9338.9
238,8924.14
239,9188.78
240,9118.54
241,8432.76
242,8892.73
243,9703.23
244,8722.76
245,8761.92
246,8600.9
247,9136.01
248,8574.66
249,9819.95
250,8431.07
251,9786.91
252,8093.07
253,10048.73
254,9105.76
255,8056.22
256,8984.1
257,8900.6
258,8680.99
259,8394.85
260,9322.51
261,9069.8
262,9323.94
263,8259.82
264,8992.93
265,9880.74
266,7620.63
267,9097.62
268,9386.78
269,8962.71
270,8079.38
271,8905.0
272,9073.2
273,8297.84
274,9577.7
275,9218.13
276,10296.33
277,8996.26
278,10209.63
279,8610.03
280,7914.94
281,9577.32
282,9677.15
283,8875.48
284,8487.97
285,8284.23
286,9021.15
287,8347.04
288,9203.23
289,7999.88
290,8549.43
291,8088.51
292,8285.63
293,9383.59
294,9342.1
295,10441.84
296,8825.76
297,9121.66
298,8749.77
299,8542.7
300,9560.44
301,8973.19
302,9598.43
303,8048.5
304,9027.85
305,9525.24
306,8484.8
307,9460.51
308,8893.48
309,8989.93
310,9042.48
311,9852.59
312,9300.38
313,9545.04
314,10132.79
315,9574.47
316,9173.24
317,9439.13
318,8366.4
319,9518.48
320,9661.92
321,8925.15
322,8068.6
323,9644.09
324,8997.84
325,9306.23
326,8977.66
327,9471.1
328,8644.41
329,8290.05
330,9288.04
331,9251.95
332,9053.32
333,8167.56
334,9157.96
335,9375.89
336,8818.27
337,9643.84
338,8303.61
339,21076.2
340,19881.52
341,19485.25
342,22882.36
343,21164.11
344,20912.14
345,21357.17
346,20728.69
347,21514.72
348,21702.76
349,22227.66
350,19940.96
351,20923.89
352,22388.56
353,22351.72
354,20684.96
355,20821.31
356,9198.13
357,8808.16
358,9002.45
359,8688.67
360,9354.51
361,9293.41
362,8661.86
363,9536.99
364,8923.84
365,9018.85
