day,monopoly_money_amount
1,18867.0
2,2228.0
3,1217.0
4,2696.0
5,1683.0
6,2296.0
7,2255.0
8,2639.0
9,2379.0
10,2167.0
11,2233.0
12,1347.0
13,2184.0
14,2516.0
15,1770.0
16,2015.0
17,2370.0
18,2807.0
19,1600.0
20,2266.0
21,2071.0
22,2203.0
23,1399.0
24,1853.0
25,2583.0
26,1516.0
27,2104.0
28,1691.0
29,1915.0
30,2132.0
31,1869.0
32,18866.0
33,2622.0
34,2515.0
35,3070.0
36,1916.0
37,2243.0
38,2073.0
39,2058.0
40,2433.0
41,2168.0
42,2456.0
43,1641.0
44,2236.0
45,2042.0
46,1439.0
47,1870.0
48,1744.0
49,2110.0
50,2100.0
51,2846.0
52,2025.0
53,2152.0
54,1987.0
55,2239.0
56,2411.0
57,1800.0
58,1974.0
59,2073.0
60,18656.0
61,1370.0
62,2785.0
63,2709.0
64,1840.0
65,2768.0
66,2591.0
67,1516.0
68,2384.0
69,2267.0
70,2064.0
71,1579.0
72,2485.0
73,2075.0
74,1978.0
75,1267.0
76,2451.0
77,2361.0
78,2421.0
79,2092.0
80,1898.0
81,2840.0
82,2598.0
83,2577.0
84,2656.0
85,1882.0
86,2385.0
87,2185.0
88,1957.0
89,2187.0
90,1744.0
91,18848.0
92,2901.0
93,2040.0
94,2562.0
95,2626.0
96,1164.0
97,2114.0
98,2003.0
99,2922.0
100,2293.0
101,2651.0
102,2543.0
103,2115.0
104,2137.0
105,2702.0
106,1328.0
107,1699.0
108,2154.0
109,2056.0
110,2271.0
111,2568.0
112,2552.0
113,1652.0
114,2435.0
115,2181.0
116,2488.0
117,2508.0
118,1584.0
119,2126.0
120,1584.0
121,19206.0
122,2918.0
123,2141.0
124,1822.0
125,2141.0
126,2828.0
127,2603.0
128,2153.0
129,1957.0
130,1685.0
131,1692.0
132,2441.0
133,2078.0
134,2034.0
135,1490.0
136,1334.0
137,2950.0
138,1945.0
139,2402.0
140,1983.0
141,2153.0
142,1841.0
143,1683.0
144,1645.0
145,1711.0
146,1975.0
147,1535.0
148,2402.0
149,1973.0
150,2127.0
151,1738.0
152,18443.0
153,2524.0
154,3390.0
155,2034.0
156,1380.0
157,2507.0
158,2242.0
159,1846.0
160,1370.0
161,1845.0
162,1765.0
163,1856.0
164,2653.0
165,1431.0
166,1964.0
167,2292.0
168,2322.0
169,2815.0
170,1767.0
171,1959.0
172,2353.0
173,2319.0
174,2909.0
175,1635.0
176,1876.0
177,1675.0
178,1680.0
179,2103.0
180,2613.0
181,1098.0
182,18386.0
183,2712.0
184,2697.0
185,2056.0
186,2817.0
187,2180.0
188,2053.0
189,2108.0
190,1486.0
191,2276.0
192,2647.0
193,2093.0
194,2439.0
195,2026.0
196,2588.0
197,1820.0
198,1462.0
199,2160.0
200,2081.0
201,2868.0
202,2008.0
203,1984.0
204,2411.0
205,1619.0
206,1362.0
207,2998.0
208,2722.0
209,2748.0
210,1487.0
211,1787.0
212,1878.0
213,17956.0
214,3183.0
215,2307.0
216,1926.0
217,1948.0
218,1938.0
219,2107.0
220,1826.0
221,2141.0
222,1722.0
223,2390.0
224,2262.0
225,2303.0
226,1573.0
227,2381.0
228,2004.0
229,2315.0
230,2744.0
231,2429.0
232,2117.0
233,1829.0
235,2056.0
236,1771.0
237,1861.0
238,2002.0
239,2239.0
240,2294.0
241,2150.0
242,1631.0
243,2817.0
244,18474.0
245,1748.0
246,1888.0
247,1775.0
248,1870.0
249,1377.0
250,2636.0
251,1371.0
252,2636.0
253,1600.0
254,2279.0
255,1710.0
256,2593.0
257,1718.0
258,2353.0
259,2505.0
260,2114.0
261,2149.0
262,2102.0
263,1552.0
264,1923.0
265,2834.0
266,2302.0
267,2204.0
268,1293.0
269,1914.0
270,2293.0
271,2132.0
272,2084.0
273,2023.0
274,18632.0
275,2625.0
276,2665.0
277,2374.0
278,1573.0
279,1857.0
280,2046.0
281,2212.0
282,2606.0
283,2037.0
284,1951.0
285,2265.0
286,2356.0
287,2594.0
288,1767.0
289,2938.0
290,1987.0
291,1406.0
292,2803.0
293,2865.0
294,2917.0
295,2823.0
296,2853.0
297,2587.0
298,1997.0
299,2047.0
300,2191.0
301,1785.0
302,2235.0
303,1498.0
304,1892.0
305,18557.0
306,1965.0
307,2071.0
308,1831.0
309,1810.0
310,1685.0
311,1407.0
312,1024.0
313,2332.0
314,1821.0
315,2200.0
316,1765.0
317,1830.0
318,1288.0
319,2098.0
320,2159.0
321,2299.0
322,1828.0
323,831.0
324,2761.0
325,2535.0
326,1315.0
327,2818.0
328,1813.0
329,1831.0
330,2082.0
331,2026.0
332,1950.0
333,1969.0
334,1374.0
335,18239.0
336,1974.0
337,1926.0
338,2623.0
339,8717.0
340,9137.0
341,7704.0
342,7438.0
343,7524.0
344,7270.0
345,9288.0
346,7847.0
347,8468.0
348,8862.0
349,8539.0
350,8079.0
351,8788.0
352,8352.0
353,6842.0
354,8493.0
355,6444.0
356,2363.0
357,1939.0
358,1321.0
359,1811.0
360,2097.0
361,1784.0
362,1764.0
363,2223.0
364,2078.0
365,2292.0
