day,monopoly_money_amount
1,34447.06
2,34025.03
3,42938.97
4,44903.05
5,50373.29
6,57688.65
7,60985.75
8,66908.2
9,70474.82
10,78422.37
11,54934.45
12,56818.24
13,59774.31
14,58556.01
15,70819.97
16,60647.54
17,60598.54
18,65446.73
19,63765.88
20,60974.24
21,60439.45
22,61533.21
23,61913.17
24,61200.55
25,66533.07
26,64912.05
27,62877.31
28,62980.26
29,61886.92
30,61187.23
31,59129.42
32,60043.97
33,66097.34
34,65802.75
35,66629.16
36,56773.02
37,66006.34
38,59034.79
39,56227.29
40,57652.82
41,59352.2
42,66767.0
43,63794.87
44,64091.12
45,63970.68
46,66429.28
47,61133.32
48,67413.89
49,59252.17
50,63288.19
51,59755.64
52,61767.43
53,64236.01
54,60071.95
55,63112.63
56,67272.6
57,74151.6
58,57593.79
59,62310.78
60,58424.98
61,63008.64
62,64724.86
63,59578.21
64,61556.72
65,60607.72
66,59829.31
67,62663.07
68,63827.66
69,57707.36
70,62283.4
71,65137.02
72,61752.04
73,62242.02
74,64273.11
75,64889.4
76,62159.27
77,65745.07
78,64857.71
79,64293.34
80,62577.62
81,62554.16
82,57155.48
83,59344.89
84,66208.42
85,63068.59
86,60299.67
87,63011.52
88,66271.52
89,65282.19
90,62384.65
91,68276.42
92,53835.66
93,66894.54
94,61326.56
95,58928.84
96,61581.07
97,59477.19
98,64539.47
99,67181.72
100,62606.16
101,62229.38
102,60918.06
103,59172.34
104,60875.72
105,62132.19
106,63874.44
107,61550.97
108,50533.73
109,66621.81
110,58764.12
111,63065.44
112,65863.35
113,62152.84
114,66568.74
115,63014.32
116,58639.76
117,61620.79
118,57781.42
119,58804.55
120,64421.31
121,64215.86
122,63233.43
123,64054.27
124,59593.28
125,59675.26
126,61358.0
127,62138.74
128,60682.82
129,65536.28
130,62105.26
131,67918.58
132,67274.46
133,54412.45
134,67080.8
135,68224.21
136,62741.94
137,61938.32
138,62858.54
139,65396.88
140,64077.95
141,62928.08
142,61880.46
143,57637.85
144,65808.07
145,59758.08
146,61446.63
147,64673.24
148,64594.01
149,69538.2
150,58626.17
151,67954.41
152,63204.27
153,60189.09
154,67906.08
155,63251.87
156,63578.6
157,67779.67
158,61399.48
159,67889.9
160,63244.04
161,60799.97
162,59572.05
163,57060.54
164,62418.18
165,60510.35
166,60295.93
167,67230.16
168,66243.23
169,59236.47
170,60211.12
171,58585.25
172,66386.68
173,63499.38
174,62838.53
175,63268.91
176,60740.87
177,66411.82
178,59732.55
179,62679.52
180,57457.98
181,62279.15
182,69362.9
183,58740.76
184,63512.590000000004
185,64730.2
186,64717.27
187,63235.5
188,63562.6
189,53169.12
190,58820.13
191,60504.07
192,67090.55
193,65526.28
194,65350.7
195,61109.97
196,61944.23
197,60095.66
198,60022.01
199,65250.74
200,57475.22
201,64687.91
202,64618.73
203,59455.09
204,59679.34
205,63439.45
206,57414.59
207,62507.03
208,58733.53
209,65626.59
210,60781.46
211,61130.53
212,61745.05
213,64936.83
214,63165.08
215,67372.26
216,59896.13
217,66319.58
218,62114.49
219,57145.78
220,61567.37
221,56203.79
222,60984.11
223,63419.93
224,63315.72
225,62062.38
226,64033.38
227,60895.38
228,61771.21
229,64846.23
230,66065.91
231,63637.96
232,62276.41
233,66610.46
235,55893.27
236,64697.22
237,64446.47
238,62495.26
239,69172.22
240,61033.72
241,60696.92
242,57186.18
243,58712.4
244,62422.04
245,57638.95
246,65812.03
247,65316.2
248,61183.18
249,57870.18
250,64563.85
251,61610.88
252,60177.28
253,68721.28
254,69371.8
255,59898.82
256,63194.57
257,58338.67
258,59431.1
259,61033.69
260,58863.44
261,62663.2
262,70366.79
263,66481.56
264,59192.82
265,65294.54
266,62425.7
267,57647.65
268,59738.1
269,60698.82
270,59903.13
271,64632.61
272,73890.36
273,61005.5
274,60893.28
275,64813.7
276,63221.01
277,60275.88
278,67499.69
279,69076.93
280,59465.56
281,66221.12
282,62551.67
283,67893.79
284,59421.11
285,63174.98
286,58800.27
287,64879.590000000004
288,71673.56
289,59661.91
290,59895.24
291,59931.52
292,59017.48
293,65577.15
294,65224.31
295,60895.2
296,62643.41
297,63536.88
298,61843.88
299,61593.8
300,68007.98
301,62783.28
302,64041.68
303,57989.09
304,64563.84
305,60578.56
306,60840.65
307,63234.61
308,59065.82
309,59671.38
310,62408.53
311,68023.79
312,65094.52
313,54656.89
314,61224.28
315,65091.42
316,65511.14
317,62593.53
318,64247.8
319,57569.56
320,69034.68
321,62713.74
322,60034.25
323,61950.59
324,64415.82
325,62741.92
326,67324.57
327,57796.37
328,61897.92
329,64435.55
330,67382.96
331,57591.02
332,65760.3
333,60571.9
334,61638.29
335,58606.74
336,61271.56
337,64165.27
338,64230.12
339,65420.13
340,63199.76
341,57791.47
342,69558.66
343,55331.04
344,59494.51
345,63022.47
346,58935.35
347,59094.13
348,62684.3
349,59541.48
350,59501.69
351,67251.85
352,59202.0
353,62114.52
354,61875.93
355,61811.53
356,63699.8
357,61243.86
358,60445.13
359,70402.53
360,57264.87
361,61787.35
362,59344.89
363,58362.47
364,59091.45
365,63261.44
