day,monopoly_money_amount
1,4376.0
2,4831.0
3,5127.0
4,5688.0
5,5749.0
6,3794.0
7,4784.0
8,4991.0
9,4369.0
10,5082.0
11,4088.0
12,4947.0
13,4565.0
14,5197.0
15,4310.0
16,3673.0
17,4356.0
18,3912.0
19,4706.0
20,4812.0
21,4488.0
22,5111.0
23,5170.0
24,4685.0
25,5556.0
26,4200.0
27,3807.0
28,4899.0
29,5002.0
30,5320.0
31,4375.0
32,4424.0
33,4499.0
34,4462.0
35,4376.0
36,6002.0
37,5429.0
38,5714.0
39,5172.0
40,4874.0
41,3904.0
42,4316.0
43,5238.0
44,4369.0
45,5491.0
46,3562.0
47,3385.0
48,4619.0
49,4745.0
50,4114.0
51,4820.0
52,3645.0
53,5042.0
54,4512.0
55,5222.0
56,4729.0
57,4846.0
58,4357.0
59,4636.0
60,4599.0
61,5101.0
62,5592.0
63,4884.0
64,5434.0
65,4601.0
66,4860.0
67,5377.0
68,4358.0
69,4764.0
70,4438.0
71,4853.0
72,4174.0
73,4613.0
74,4594.0
75,5494.0
76,4449.0
77,4414.0
78,4170.0
79,5330.0
80,5293.0
81,5680.0
82,5051.0
83,5775.0
84,5129.0
85,5277.0
86,4647.0
87,4144.0
88,3956.0
89,3542.0
90,4113.0
91,5872.0
92,5113.0
93,5137.0
94,5199.0
95,4924.0
96,4547.0
97,4278.0
98,3982.0
99,3683.0
100,5006.0
101,5493.0
102,5155.0
103,4186.0
104,6459.0
105,3975.0
106,3873.0
107,4627.0
108,4988.0
109,3222.0
110,4298.0
111,4900.0
112,5760.0
113,4811.0
114,4771.0
115,4419.0
116,5185.0
117,4837.0
118,4697.0
119,5002.0
120,3708.0
121,4655.0
122,5381.0
123,4648.0
124,4266.0
125,3530.0
126,5575.0
127,3882.0
128,5237.0
129,3949.0
130,4023.0
131,5501.0
132,5384.0
133,4417.0
134,4611.0
135,3942.0
136,4658.0
137,4349.0
138,4591.0
139,5271.0
140,5430.0
141,4857.0
142,4868.0
143,4232.0
144,3768.0
145,4762.0
146,4618.0
147,4427.0
148,4654.0
149,4500.0
150,5377.0
151,4587.0
152,4218.0
153,5802.0
154,4275.0
155,5649.0
156,5255.0
157,4337.0
158,4758.0
159,4776.0
160,4519.0
161,4060.0
162,4077.0
163,5335.0
164,5264.0
165,3934.0
166,3790.0
167,4487.0
168,5220.0
169,4783.0
170,5161.0
171,5160.0
172,3923.0
173,4035.0
174,5031.0
175,4092.0
176,5223.0
177,4516.0
178,5929.0
179,4447.0
180,4407.0
181,4338.0
182,5082.0
183,4664.0
184,4491.0
185,4520.0
186,2753.0
187,5073.0
188,4365.0
189,4590.0
190,5044.0
191,4526.0
192,5205.0
193,4596.0
194,4194.0
195,5157.0
196,4038.0
197,4362.0
198,4779.0
199,4202.0
200,5062.0
201,4308.0
202,5532.0
203,4880.0
204,5050.0
205,4393.0
206,4308.0
207,5114.0
208,5369.0
209,5403.0
210,3754.0
211,3715.0
212,3058.0
213,4767.0
214,4962.0
215,4636.0
216,4508.0
217,5048.0
218,5273.0
219,4663.0
220,4222.0
221,4714.0
222,4584.0
223,5049.0
224,4881.0
225,5696.0
226,5751.0
227,4694.0
228,4164.0
229,5488.0
230,4295.0
231,4788.0
232,4056.0
233,3907.0
235,3198.0
236,5205.0
237,3618.0
238,5450.0
239,4900.0
240,5028.0
241,5158.0
242,3551.0
243,3200.0
244,3160.0
245,4824.0
246,4508.0
247,4100.0
248,4709.0
249,4913.0
250,5606.0
251,6229.0
252,4426.0
253,5412.0
254,5575.0
255,4282.0
256,4902.0
257,4732.0
258,4142.0
259,4693.0
260,4336.0
261,4516.0
262,4959.0
263,3849.0
264,4965.0
265,5529.0
266,4256.0
267,4400.0
268,3923.0
269,4817.0
270,5671.0
271,4638.0
272,4713.0
273,4297.0
274,4898.0
275,5090.0
276,4460.0
277,5368.0
278,4816.0
279,5364.0
280,4431.0
281,4774.0
282,5204.0
283,5184.0
284,4947.0
285,4464.0
286,5059.0
287,4044.0
288,4973.0
289,4031.0
290,4917.0
291,4847.0
292,4583.0
293,3985.0
294,4721.0
295,5881.0
296,3617.0
297,5797.0
298,4174.0
299,4621.0
300,5431.0
301,4226.0
302,4042.0
303,4633.0
304,4418.0
305,3706.0
306,5283.0
307,4640.0
308,4330.0
309,4616.0
310,4171.0
311,4869.0
312,5114.0
313,5178.0
314,4564.0
315,4674.0
316,4939.0
317,4671.0
318,5308.0
319,5511.0
320,4275.0
321,4586.0
322,4371.0
323,4059.0
324,4207.0
325,4811.0
326,4442.0
327,4636.0
328,4659.0
329,5073.0
330,4918.0
331,3670.0
332,4927.0
333,3838.0
334,3972.0
335,4742.0
336,4534.0
337,5605.0
338,4530.0
339,13338.0
340,12527.0
341,12458.0
342,12695.0
343,11798.0
344,10085.0
345,12332.0
346,12080.0
347,11786.0
348,12887.0
349,11040.0
350,11149.0
351,11588.0
352,11949.0
353,12002.0
354,12541.0
355,11607.0
356,3697.0
357,4703.0
358,5161.0
359,3715.0
360,4604.0
361,4298.0
362,4546.0
363,4800.0
364,4559.0
365,3887.0
