shops,Total_Amount,Average_Amount,Transaction_Count,Consumption_Level
TECH_SHOP,262087.0,167.04079031230083,1569,High Spending
HIPSTER_ELECTRONICS_SHOP,264615.0,164.97194513715712,1604,High Spending
ELECTRONICS_SHOP,250739.0,162.50097213220997,1543,High Spending
DEPARTMENT_STORE,2876655.0,115.56080022496285,24893,High Spending
FASHION_SHOP,2843604.0,114.5875241779497,24816,High Spending
CLOTHES_SHOP,2828740.0,114.41734417344173,24723,High Spending
FASHIONABLE_SPORTSWARE_SHOP,289606.0,75.71398692810457,3825,Medium Spending
TRAINER_SHOP,293483.0,75.00204446716074,3913,Medium Spending
SPORT_SHOP,290410.0,74.92518059855522,3876,Medium Spending
RUNNING_SHOP,286472.0,74.2540176257128,3858,Medium Spending
A_SUPERMARKET,5652778.58,69.4999518042663,81335,Medium Spending
THE_SUPERMARKET,5663475.740000001,69.39683543683374,81610,Medium Spending
EXPRESS_SUPERMARKET,5704381.3,69.27080231696803,82349,Medium Spending
LARGE_SUPERMARKET,5621311.49,68.86920953652769,81623,Medium Spending
TURKEY_FARM,98280.0,59.027027027027025,1665,Medium Spending
TOY_SHOP,910327.0,55.433382048471564,16422,Medium Spending
KIDS_ACTIVITY_CENTRE,913488.0,55.29923118832859,16519,Medium Spending
CHILDRENDS_SHOP,916095.0,55.06040389469888,16638,Medium Spending
KIDS_CLOTHING_SHOP,912950.0,55.056687974912556,16582,Medium Spending
SCHOOL_SUPPLY_STORE,896359.0,54.71275102240127,16383,Medium Spending
HOME_IMPROVEMENT_STORE,300769.0,47.3651968503937,6350,Medium Spending
DIY_STORE,305063.0,46.774455688439126,6522,Medium Spending
VIDEO_GAME_STORE,770412.0,40.104737116085374,19210,Medium Spending
GAME_SHOP,766871.0,40.070592538405265,19138,Medium Spending
SEAFOOD_RESAURANT,269009.52999999997,35.48938390501319,7580,Medium Spending
INDIAN_RESTAURANT,262148.97,35.2872486202719,7429,Medium Spending
CHINESE_RESTAURANT,262599.78,35.16333422603107,7468,Medium Spending
STEAK_HOUSE,258516.13999999998,35.15791377668978,7353,Medium Spending
CHINESE_TAKEAWAY,2140249.81,35.126947922992336,60929,Medium Spending
TAKEAWAY,2130230.1100000003,35.06147620850273,60757,Medium Spending
LOCAL_PUB,2126267.69,35.04817594408822,60667,Medium Spending
TAKEAWAY_CURRY,2153501.7900000005,35.02483191022201,61485,Medium Spending
RESTAURANT,2378470.71,34.95026978972272,68053,Medium Spending
TEA_SHOP,243526.47000000003,27.638913857677906,8811,Medium Spending
WE_HAVE_BEAN_WEIGHTING,237398.69,27.617344113541183,8596,Medium Spending
ROASTERIE,240572.44999999998,27.478292404340376,8755,Medium Spending
TO_BEAN_OR_NOT_TO_BEAN,236423.99,27.459232288037164,8610,Medium Spending
RESTAURANT_VOUCHER,400375.0,27.37232515211595,14627,Medium Spending
WINE_CELLAR,232540.25000000006,26.82125144175318,8670,Medium Spending
WHISKEY_SHOP,234605.43,26.659707954545453,8800,Medium Spending
LIQUOR_STORE,229984.41000000003,26.550959362733785,8662,Medium Spending
ACCESSORY_SHOP,74862.0,22.514887218045114,3325,Standard Spending
BUTCHER,2097495.5,22.47324633302262,93333,Standard Spending
JEWLLERY_SHOP,71308.0,21.961194949183863,3247,Standard Spending
GREENGROCER,2345981.9299999997,21.818216677206948,107524,Standard Spending
PET_TOY_SHOP,185348.0,20.179422972237344,9185,Standard Spending
GYM,197760.0,20.0,9888,Standard Spending
PET_SHOP,185389.0,19.96220523312157,9287,Standard Spending
BUTCHERS,294408.0,19.75229788661523,14905,Standard Spending
COOKSHOP,249806.0,17.422653089691728,14338,Standard Spending
LOCAL_RESTAURANT,2620513.0300000003,15.232883973725514,172030,Standard Spending
FLORIST,2675.0,13.112745098039216,204,Standard Spending
PUB,10639504.55,12.751389714518565,834380,Standard Spending
LOCAL_BOOKSHOP,325324.0,12.426432391138274,26180,Standard Spending
SECOND_HAND_BOOKSHOP,324589.0,12.414005430833365,26147,Standard Spending
