from_totally_fake_account,min_transaction_amount,max_transaction_amount
1000,1.45,1670.0
1120,1.45,631.67
1122,1.45,1430.0
1133,1.45,852.5
1179,1.45,1145.0
1180,1.45,1675.0
1210,1.45,533.33
1214,1.45,1930.0
1234,1.45,825.0
1255,1.45,656.67
1304,1.95,1990.0
1309,1.45,1845.0
1399,1.45,1690.0
1433,1.45,670.0
1471,1.45,1360.0
1489,1.5,1600.0
1490,1.45,1050.0
1529,1.5,463.33
1569,1.45,490.0
1607,1.45,1060.0
1615,1.45,1115.0
1622,1.8,452.5
1623,1.45,1885.0
1634,2.15,1400.0
1642,1.45,927.5
1661,1.8,465.0
1675,1.45,835.0
1689,1.45,1395.0
1715,1.45,732.5
1717,1.8,1650.0
1718,3.0,1750.0
1784,1.8,772.5
1786,1.45,1950.0
1800,1.45,476.25
1808,1.45,640.0
1823,1.45,1735.0
1838,1.45,635.0
1908,1.8,1115.0
1990,1.8,490.0
2019,1.45,1095.0
2029,1.45,717.5
2030,1.45,1290.0
2035,1.45,1390.0
2069,2.65,1750.0
2071,1.45,1430.0
2076,1.45,825.0
2126,1.8,616.67
2171,1.45,1290.0
2182,1.45,875.0
2260,1.45,458.33
2294,1.45,1725.0
2306,1.45,492.5
2308,1.45,1560.0
2331,1.45,1810.0
2369,1.8,1225.0
2430,1.45,935.0
2440,2.45,520.0
2486,1.45,1615.0
2493,1.45,442.5
2518,1.45,488.75
2528,1.45,1780.0
2538,1.45,870.0
2580,1.45,1780.0
2585,1.45,1450.0
2641,1.45,618.33
2647,1.45,800.0
2710,1.5,1110.0
2719,1.45,583.33
2767,1.45,463.33
2771,1.45,1125.0
2779,1.45,920.0
2795,1.45,1580.0
2838,2.45,1910.0
2844,1.5,1105.0
2854,1.45,1530.0
2858,1.45,1920.0
2862,1.45,1650.0
2881,1.45,1080.0
2888,2.4,656.67
2895,1.45,1965.0
2910,1.45,630.0
2984,1.45,586.67
3048,1.45,1495.0
3093,1.45,760.0
3102,2.4,1440.0
3109,1.45,885.0
3142,1.45,890.0
3145,1.8,533.33
3158,1.45,1620.0
3226,1.45,1360.0
3237,1.8,1305.0
3241,1.45,870.0
3287,1.45,1395.0
3291,2.4,1450.0
3296,1.45,697.5
3362,1.8,1125.0
3378,2.25,1580.0
3402,3.0,840.0
3417,1.95,1160.0
3456,1.45,1410.0
3458,1.45,1875.0
3465,1.45,1425.0
3472,1.95,453.75
3512,1.45,1970.0
3575,1.45,1920.0
3599,1.45,1730.0
3602,1.45,880.0
3694,1.45,491.25
3704,1.45,870.0
3712,3.0,920.0
3776,1.45,1085.0
3786,1.45,1970.0
3838,1.45,1785.0
3934,2.2,656.67
3939,1.45,480.0
3970,1.45,1090.0
3994,4.5,875.0
4009,1.45,477.5
4018,2.15,635.0
4044,1.45,940.0
4081,1.45,1650.0
4083,2.4,1875.0
4106,2.65,1745.0
4125,1.45,1510.0
4141,1.45,646.67
4142,1.45,1150.0
4148,1.45,1520.0
4154,1.45,603.33
4206,1.45,1155.0
4212,1.45,526.67
4230,4.0,470.0
4239,1.45,1795.0
4276,1.45,645.0
4279,1.45,827.5
4309,1.45,1470.0
4313,1.45,915.0
4386,1.45,470.0
4463,1.8,457.5
4465,1.45,1460.0
4490,1.45,1425.0
4498,1.45,1625.0
4526,1.45,935.0
4548,1.45,1590.0
4555,1.45,458.33
4558,1.45,1935.0
4571,1.45,1645.0
4655,1.45,1720.0
4690,1.45,1210.0
4691,1.95,1220.0
4697,1.45,1900.0
4731,1.45,1635.0
4759,1.8,451.67
4818,1.95,491.67
4819,1.45,445.0
4824,1.45,1525.0
4837,1.45,1375.0
4840,1.8,513.33
4875,1.45,1880.0
4888,1.45,1685.0
4903,1.45,665.0
4905,1.45,1815.0
4931,1.45,1615.0
4955,1.45,1700.0
4958,1.45,1785.0
4993,1.45,1330.0
5001,1.45,1230.0
5039,1.45,1085.0
5068,1.45,985.0
5119,1.45,1000.0
5164,1.45,867.5
5200,1.45,575.0
5219,1.45,1015.0
5222,1.45,892.5
5261,1.45,807.5
5266,1.45,1980.0
5285,1.8,1660.0
5292,1.45,1405.0
5299,1.45,1405.0
5300,1.8,1315.0
5304,1.45,1925.0
5307,1.45,1145.0
5319,1.45,573.33
5322,1.45,1420.0
5347,1.45,565.0
5353,1.5,1290.0
5378,1.5,1810.0
5391,4.0,572.5
5403,2.15,1045.0
5457,1.8,452.5
5491,1.45,1520.0
5494,1.8,922.5
5499,1.45,950.0
5501,1.5,1690.0
5538,1.45,1080.0
5569,1.45,1785.0
5580,1.8,850.0
5589,1.5,608.33
5620,1.45,1650.0
5653,1.45,1365.0
5679,1.45,491.25
5706,1.8,625.0
5733,2.55,1660.0
5740,1.45,1950.0
5782,2.25,526.67
5784,4.5,1890.0
5797,1.45,1355.0
5831,1.45,1585.0
5844,1.45,491.67
5852,1.45,455.0
5876,2.15,880.0
5919,1.45,1660.0
5936,1.45,625.0
5960,1.45,592.5
5979,1.45,1960.0
6030,1.45,840.0
6048,1.45,1300.0
6060,2.25,865.0
6097,1.8,1375.0
6107,2.55,1690.0
6154,1.45,443.33
6234,1.5,1775.0
6246,1.45,1745.0
6289,2.0,1240.0
6295,1.45,661.67
6339,1.45,457.5
6360,1.45,473.75
6406,1.45,1930.0
6415,1.45,487.5
6508,1.45,1230.0
6517,1.45,626.67
6518,1.45,1570.0
6536,1.45,1385.0
6545,1.8,1760.0
6574,1.45,1275.0
6616,1.45,697.5
6650,2.4,586.67
6651,2.55,1330.0
6653,1.45,598.33
6679,1.8,1630.0
6692,2.15,497.5
6754,1.45,645.0
6889,2.15,995.0
6892,1.45,1510.0
6920,1.45,1685.0
6935,1.45,1505.0
6947,1.45,505.0
6957,1.45,1755.0
7002,1.45,646.67
7014,1.45,795.0
7018,1.8,645.0
7020,1.45,575.0
7039,2.55,1980.0
7041,1.45,1010.0
7058,1.45,1445.0
7059,1.45,1450.0
7072,1.8,1825.0
7073,1.45,800.0
7214,1.45,1745.0
7234,1.45,493.33
7235,1.45,573.33
7246,1.45,1555.0
7257,1.45,1565.0
7269,1.45,615.0
7272,2.2,521.67
7301,1.45,465.0
7317,1.45,1495.0
7318,1.45,612.5
7337,4.5,615.0
7417,1.45,650.0
7421,1.45,530.0
7446,1.45,835.0
7453,1.45,1190.0
7485,1.45,975.0
7538,1.45,780.0
7550,1.45,1425.0
7582,1.45,1430.0
7623,1.45,1935.0
7637,1.45,895.0
7659,1.45,491.67
7686,1.45,990.0
7690,1.45,1290.0
7694,1.45,1275.0
7746,1.45,1875.0
7783,1.45,503.33
7791,1.45,1990.0
7809,1.45,473.33
7810,1.45,1220.0
7843,1.5,461.25
7853,1.45,658.33
7857,1.45,1950.0
7909,1.45,1645.0
7949,2.15,1245.0
7970,1.45,1055.0
7979,1.45,1810.0
8001,1.45,1920.0
8024,1.5,1925.0
8065,1.45,975.0
8089,2.4,807.5
